Order ID,_date,Status,rto,is_cancelled,Category,_sku_prefix,ship-state,ship-city,_pincode_prefix,Amount,_amount_log,_amount_bucket,_has_promotion,_is_b2b,Fulfilment,Qty
402-2105657-2899562,2022-04-30,Shipped,0,0,kurta,JNE,KARNATAKA,BENGALURU,560,316.0,5.75890177387728,q1,0,0,Amazon,1
406-1326801-8886709,2022-04-30,Shipped - Delivered to Buyer,0,0,kurta,JNE,ODISHA,BERHAMPUR,760,362.0,5.8944028342648505,q1,1,0,Merchant,1
408-7760667-5809130,2022-04-30,Shipped,0,0,kurta,JNE,TELANGANA,HYDERABAD,500,329.0,5.799092654460526,q1,1,0,Amazon,1
405-8457623-9269955,2022-04-30,Shipped,0,0,kurta,JNE,MAHARASHTRA,PUNE,411,399.0,5.991464547107982,q1,0,0,Amazon,1
408-6820155-3521913,2022-04-30,Shipped,0,0,Set,SET,ASSAM,TEZPUR,784,751.0,6.62273632394984,q4,1,0,Amazon,1
403-6190683-2687538,2022-04-30,Shipped,0,0,Western Dress,JNE,Gujarat,HIMMATNAGAR,383,791.0,6.674561391814426,q4,0,0,Amazon,1
408-4069830-3819562,2022-04-30,Shipped,0,0,Set,SET,WEST BENGAL,Kolkata,700,684.0,6.529418838262226,q3,1,0,Amazon,1
408-4069830-3819562,2022-04-30,Shipped,0,0,Set,SET,WEST BENGAL,Kolkata,700,1281.0,7.156176637480615,q5,1,0,Amazon,1
408-4069830-3819562,2022-04-30,Shipped,0,0,Set,SET,WEST BENGAL,Kolkata,700,1186.0,7.079184394609668,q5,1,0,Amazon,1
171-7367545-7081126,2022-04-30,Shipped,0,0,kurta,MEN,TELANGANA,HYDERABAD,502,499.0,6.214608098422191,q2,1,0,Amazon,1
404-6522553-9345930,2022-04-30,Cancelled,0,1,Set,SET,UTTARAKHAND,DEHRADUN,248,1105.36,7.008830613166844,q5,0,0,Merchant,0
403-9950518-0349133,2022-04-30,Cancelled,0,1,kurta,JNE,TELANGANA,HYDERABAD,500,,0.0,,0,0,Amazon,0
407-6599093-6553153,2022-04-30,Shipped - Delivered to Buyer,0,0,Bottom,BTM,WEST BENGAL,KOLKATA,700,377.0,5.934894195619588,q1,1,0,Merchant,1
403-3763475-2237125,2022-04-30,Shipped,0,0,Western Dress,J,TAMIL NADU,DHARMAPURI,636,744.0,6.61338421837956,q4,1,0,Amazon,1
405-1492294-0323520,2022-04-30,Shipped,0,0,Western Dress,J,UTTARAKHAND,DEHRADUN,248,744.0,6.61338421837956,q4,1,0,Amazon,1
403-1162895-2484367,2022-04-30,Shipped - Delivered to Buyer,0,0,Western Dress,J,RAJASTHAN,JAIPUR,303,859.0,6.756932389247553,q5,1,0,Merchant,1
171-6833843-5473114,2022-04-30,Shipped,0,0,kurta,JNE,Gujarat,VADODARA,390,487.0,6.1903154058531475,q2,0,0,Amazon,1
